Smiles                                                       G4_Cv      Exp_Cv     Dev       
C[CH]=[C]=[C](C)C                                            115.97     122.10     -6.13     
C[C](C)=[C]=[CH2]                                            93.80      94.70      -0.90     
C[S](C)=O                                                    79.97      81.70      -1.73     
C[S](Cl)(=O)=O                                               80.40      75.70      4.70      
C[S](O)(=O)=O                                                84.30      66.10      18.20     
C\1C\C=C/CC\C=C1                                             124.46     130.60     -6.14     
C\C(Cl)=C/CCl                                                103.95     105.30     -1.35     
C\C(Cl)=C\CCl                                                103.95     104.69     -0.73     
C\C=C(/C)C(C)C                                               146.18     146.90     -0.72     
C\C=C(/C)C=C                                                 114.08     114.90     -0.82     
C\C=C/Br                                                     69.95      59.69      10.27     
C\C=C/C                                                      77.42      71.90      5.52      
C\C=C/C#C                                                    86.70      88.80      -2.10     
C\C=C/C#N                                                    77.47      75.69      1.78      
C\C=C/C(C)(C)C                                               146.82     142.69     4.14      
C\C=C/C(C)=C                                                 113.51     114.90     -1.39     
C\C=C/C(C)C                                                  122.75     127.90     -5.15     
C\C=C/C(O)=O                                                 95.97      100.20     -4.23     
C\C=C/C=C                                                    91.03      88.80      2.23      
C\C=C/CO                                                     94.27      93.00      1.27      
C\C=C/Cl                                                     68.18      59.40      8.78      
C\C=C/F                                                      64.32      60.10      4.22      
C\C=C\Br                                                     69.95      66.69      3.27      
C\C=C\C                                                      77.42      79.40      -1.98     
ClC#N                                                        34.06      36.70      -2.64     
ClC(=O)C(Cl)(Cl)Cl                                           105.57     101.90     3.67      
ClC(Cl)(Cl)Br                                                77.71      76.69      1.03      
ClC(Cl)(Cl)C(Cl)(Cl)Cl                                       131.26     129.40     1.86      
ClC(Cl)(Cl)C=O                                               91.54      88.80      2.74      
ClC(Cl)(Cl)Cl                                                75.72      75.00      0.72      
ClC(Cl)=C                                                    58.39      58.10      0.29      
ClC(Cl)=C(Cl)Cl                                              87.33      87.00      0.33      
ClC(Cl)=O                                                    49.56      49.40      0.16      
ClC(Cl)C(Cl)(Cl)Cl                                           113.07     109.70     3.37      
ClC(Cl)C(Cl)Cl                                               95.70      91.20      4.50      
ClC(Cl)Cl                                                    57.69      57.30      0.39      
ClC/C=C/Cl                                                   80.73      80.80      -0.07     
ClC=C                                                        44.78      45.40      -0.62     
ClC=C(Cl)Cl                                                  72.32      71.90      0.42      
ClCBr                                                        44.63      45.10      -0.47     
ClCC#C                                                       62.96      62.40      0.56      
ClCC(Cl)(Cl)Cl                                               97.99      94.50      3.49      
ClCC(Cl)=O                                                   74.02      70.69      3.34      
ClCC(Cl)C=C                                                  104.76     105.70     -0.94     
ClCC(Cl)CCl                                                  102.27     105.10     -2.83     
ClCC(Cl)Cl                                                   80.71      77.80      2.91      
ClCC=C                                                       67.70      66.80      0.90      
ClCC=O                                                       60.34      57.70      2.64      
ClCCCCl                                                      87.83      92.50      -4.67     
ClCCCl                                                       66.37      69.50      -3.13     
ClCCl                                                        42.85      42.80      0.05      
ClC\C=C/Cl                                                   80.73      79.70      1.03      
ClSCl                                                        42.91      41.69      1.23      
Cl[S](Cl)(=O)=O                                              70.07      68.70      1.37      
Cl[S](Cl)=O                                                  58.53      57.69      0.85      
Cl\C=C/Cl                                                    58.75      56.70      2.05      
Cl\C=C\Cl                                                    58.75      58.30      0.45      
FC#N                                                         32.05      33.60      -1.55     
FC(C(F)(F)F)C(F)(F)F                                         131.87     128.20     3.67      
FC(Cl)(Cl)C(Cl)(Cl)Cl                                        125.93     121.90     4.03      
FC(Cl)(Cl)C(F)(Cl)Cl                                         120.87     115.60     5.27      
FC(Cl)(Cl)Cl                                                 70.35      69.80      0.55      
FC(Cl)Br                                                     54.92      54.90      0.02      
FC(Cl)C(F)(F)Cl                                              98.27      95.00      3.27      
FC(Cl)C(F)(F)F                                               92.67      90.80      1.87      
FC(Cl)Cl                                                     52.91      52.69      0.23      
FC(F)(Cl)Br                                                  66.80      66.30      0.50      
FC(F)(Cl)C(Cl)(Cl)Cl                                         120.38     115.00     5.38      
FC(F)(Cl)C(F)(Cl)Cl                                          115.48     115.40     0.08      
FC(F)(Cl)C(F)(F)Cl                                           110.30     108.40     1.90      
FC(F)(Cl)Cl                                                  64.64      64.10      0.54      
FC(F)(F)Br                                                   60.94      61.00      -0.06     
FC(F)(F)C#C                                                  78.04      77.70      0.34      
FC(F)(F)C(=O)C(F)(F)F                                        129.75     110.70     19.05     
FC(F)(F)C(Cl)(Cl)Cl                                          114.72     111.70     3.02      
FC(F)(F)C(Cl)Cl                                              96.86      94.20      2.66      
FC(F)(F)C(F)(Cl)Cl                                           109.94     107.40     2.54      
FC(F)(F)C(F)(F)C(F)(F)F                                      144.50     137.90     6.60      
FC(F)(F)C(F)(F)Cl                                            104.84     101.40     3.44      
FC(F)(F)C(F)(F)F                                             99.54      98.10      1.44      
FC(F)(F)C=C                                                  83.58      83.20      0.38      
FC(F)(F)CC(F)(F)F                                            120.92     116.30     4.62      
FC(F)(F)CCl                                                  82.12      80.90      1.22      
FC(F)(F)Cl                                                   58.75      58.69      0.07      
FC(F)(F)F                                                    52.89      52.80      0.09      
FC(F)=C                                                      49.74      51.00      -1.26     
FC(F)=C(Cl)Cl                                                78.92      78.70      0.22      
FC(F)=C(F)Br                                                 77.62      76.90      0.72      
FC(F)=C(F)C(F)(F)F                                           114.46     122.70     -8.24     
FC(F)=C(F)Cl                                                 75.73      75.60      0.13      
FC(F)=C(F)F                                                  72.28      72.20      0.08      
