Smiles                                                       TCIT_S0    Exp_S0     Dev       
Nc1ccccc1                                                    316.69     319.00     -2.31     
Nc1ccccc1Cl                                                  350.41     356.00     -5.59     
O(c1ccccc1)c2ccccc2                                          442.16     417.00     25.16     
O=C(C(=O)c1ccccc1)c1ccccc1                                   528.41     480.18     48.23     
O=C(OCc1ccccc1)c2ccccc2                                      530.48     545.00     -14.52    
O=C(c1ccccc1)c2ccccc2                                        453.62     441.00     12.62     
O=C1C=CC(=O)C=C1                                             324.67     320.00     4.67      
O=C1CCC(=O)N1                                                350.76     320.00     30.76     
O=C1CCC(=O)O1                                                337.50     336.00     1.50      
O=C1CCCC1                                                    289.59     315.00     -25.41    
O=C1CCCCC1                                                   304.77     334.00     -29.23    
O=C1CCCCCN1                                                  363.01     363.00     0.01      
O=C1CCCN1                                                    329.58     301.00     28.58     
O=C1CCCO1                                                    306.71     306.00     0.71      
O=C1CCO1                                                     292.21     286.00     6.21      
O=C1OC(=O)C=C1                                               305.22     317.00     -11.78    
O=C1OCCO1                                                    294.65     277.00     17.65     
O=CC1CCC=CC1                                                 362.54     367.00     -4.46     
O=Cc1ccccc1                                                  346.18     336.00     10.18     
O=Cc1occc1                                                   323.86     333.00     -9.14     
O=[S]1(=O)CCCC1                                              328.52     346.00     -17.48    
OC/C=C/CO                                                    378.54     383.00     -4.46     
OC1CCCCC1                                                    322.83     340.00     -17.17    
OCC1CO1                                                      303.10     322.00     -18.90    
OCCCCO                                                       395.11     379.00     16.11     
OCCCc1ccccc1                                                 451.27     447.00     4.27      
OCCOCCOCCO                                                   532.93     558.00     -25.07    
OCCSCCO                                                      446.61     451.00     -4.39     
OCCc1ccccc1                                                  404.78     405.00     -0.22     
OC[C@@H]1CCCO1                                               359.50     374.00     -14.50    
OC\C=C/CO                                                    378.54     385.00     -6.46     
OCc1ccccc1                                                   354.85     369.00     -14.15    
OCc1occc1                                                    340.42     358.00     -17.58    
Oc1ccc(Cl)cc1                                                351.43     345.00     6.43      
Oc1ccc(O)cc1                                                 335.27     348.00     -12.73    
Oc1cccc(O)c1                                                 340.28     331.00     9.28      
Oc1ccccc1                                                    312.46     315.00     -2.54     
Oc1ccccc1C=O                                                 376.56     388.00     -11.44    
Oc1ccccc1O                                                   325.80     339.00     -13.20    
SCc1ccccc1                                                   377.34     361.00     16.34     
Sc1ccccc1                                                    337.15     337.00     0.15      
c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1                      602.14     639.00     -36.86    
c1ccc(C(c2ccccc2)c2ccccc2)cc1                                543.86     541.00     2.86      
