smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
C1=COCCC1,305.6986,84.1266,,83.886
C1=COCCO1,295.5502,77.9803,,77.786
C1C=C1,242.5823,43.1988,,44.5
C1C=CC=C1,273.8522,66.0978,,66.686
C1C=CC=CC=C1,316.4947,96.5949,316.0,97.9
C1C=CCC=C1,294.4542,84.6287,299.0,86.6
C1CC1,237.3402,47.0731,238.0,47.3
C1CC=C1,262.1492,56.1399,262.0,56.1
C1CC=CC1,291.4594,72.1855,291.0,72.8
C1CC=CC=C1,292.3495,84.8588,303.0,86.5
C1CC=CC=CC1,334.8199,104.0173,,109.4
C1CC=CO1,294.9554,65.9555,281.0,67.2
C1CC=CS1,299.0854,73.8842,304.0,
C1CCC1,264.4787,62.3322,265.0,62.3
C1CCC=CC1,304.5146,90.9382,311.0,93.0
C1CCC=CCC1,337.7963,111.2933,332.0,115.5
C1CCCC1,283.8934,78.7795,293.0,74.6
C1CCCCC1,298.6472,96.7999,297.0,97.8
C1CCCCCC1,337.4665,117.5149,343.0,123.5
C1CCCCCCC1,362.0567,137.1755,366.8,137.686
C1CCCOCC1,341.5389,111.0172,,113.386
C1CCCOCCC1,357.9856,130.5188,,139.686
C1CCC\C=C/CC1,354.466,130.7782,351.0,134.1
C1CCNC1,301.4013,74.9971,310.0,72.8
C1CCNCC1,310.7621,93.4444,337.0,117.7
C1CCOC1,298.7555,71.8801,299.0,68.2
C1CCOCC1,309.406,89.9717,,90.786
C1CCOCOC1,335.4451,102.8709,338.6,105.286
C1CCOCOCC1,353.3694,122.77,,131.386
C1CCSC1,301.1771,79.7794,310.0,83.0
C1CCSCC1,324.3673,99.1095,323.0,100.6
C1CN1,249.9305,42.5879,251.0,43.1
C1CNCCN1,296.3739,90.0344,,110.686
C1CO1,242.5647,39.2449,243.0,39.5
C1COC1,273.7114,54.8261,265.0,52.8
C1COCCN1,306.72,86.6412,,108.0
C1COCCO1,299.4247,83.2103,300.0,83.9
C1COCOC1,304.2897,82.4237,303.0,81.2
C1COCOCCO1,352.8005,117.1174,,121.686
C1COO1,270.8142,50.504,,48.386
C1COOC1,286.4095,67.1019,,68.686
C1COOO1,289.8655,63.1146,,69.686
C1CS1,255.2805,45.2322,255.0,45.2
C1CSC1,286.8979,62.1355,,59.686
C1CSCS1,325.6265,81.679,323.0,
C1CSCSC1,335.0841,101.7789,334.0,
C1OCC=C1,283.4684,65.5162,285.0,67.3
C1OCOCO1,289.1409,74.198,287.0,74.0
C1OCOCOCO1,345.6601,108.034,345.6,107.98599999999999
C1OCOO1,274.6495,59.8804,,60.586000000000006
C1SCC=C1,295.8407,73.7378,297.0,
C=C,219.0135,33.882,219.0,34.6
C=C=C=C,267.1468,64.9681,,72.98599999999999
C=C=O,241.4376,42.706,246.0,42.5
C=CC#C,277.8983,64.1062,280.0,64.9
C=CC#N,272.8437,55.1106,,55.686
C=CC(=O)O,308.4834,73.8133,,73.48599999999999
C=CC(C)=O,322.0003,84.1729,320.34,
C=CC=C,285.1935,68.6001,279.0,71.3
C=CC=O,287.019,60.2446,289.0,63.0
C=CCC#C,319.2627,86.5578,307.0,85.9
C=CCC#N,314.1527,77.6375,,78.686
C=CCC=C,335.7045,91.2316,334.0,95.8
