Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
CC(C)CCCl                                                    -147.9732       -180.8814       -39.2948         384.0962        120.5781
CC(C)CCO                                                     -265.8339       -302.1488       -142.7480        380.7269        124.5780
CC(C)CCOC(=O)CC(C)C                                          -521.6099       -582.8632       -290.7515        589.6126        241.1786
CC(C)CCOC(C)=O                                               -469.4713       -512.2289       -311.2312        485.9505        173.9999
CC(C)CCOCCC(C)C                                              -321.1570       -388.0097       -82.1439         571.5813        234.4047
CC(C)CCS                                                     -82.4911        -117.7512        16.8471         393.3892        130.8707
CC(C)CCSCCC(C)C                                              -161.9251       -227.0184        54.8098         581.6775        244.0279
CC(C)CCl                                                     -134.4657       -161.3573       -48.0380         342.4853        98.7583
CC(C)CN                                                      -62.5145        -96.7616         51.6038         339.8847        105.7330
CC(C)CO                                                      -253.1942       -283.3928       -152.2197        338.9833        102.8586
CC(C)COC(=O)C(C)=C                                           -380.0433       -422.1888       -221.4585        492.5870        188.5560
CC(C)COC(=O)C(C)C                                            -491.8251       -540.6370       -305.8090        508.9029        197.2252
CC(C)COC(=O)C=C                                              -350.1668       -386.6148       -217.1272        460.9559        165.1047
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C                             -708.9199       -780.3562       -423.1221        741.4711        347.0223
CC(C)COC(C)=O                                                -457.2599       -493.8371       -320.9793        443.9122        152.3014
CC(C)COC=O                                                   -410.3095       -442.2290       -296.4133        398.1917        127.0845
CC(C)COCC(C)C                                                -296.7341       -351.2261       -101.6401        487.5046        191.0078
CC(C)CS                                                      -65.8069        -94.6466         10.0137         357.3815        109.1681
CC(C)Cc1ccc(cc1)C(C)C(O)=O                                   -393.6322       -445.8905       -182.5142        572.5316        254.1384
CC(C)Cc1ccccc1                                                22.0825        -22.1971         138.1180        434.4606        165.6357
CC(C)Cl                                                      -124.8560       -145.6734       -61.5085         303.8494        75.7931
CC(C)F                                                       -291.4312       -312.5855       -228.4624        293.8458        72.1697
CC(C)N                                                       -55.6390        -83.8746         35.5772         300.4415        83.3442
