Smiles                                                       TCIT_Gf    G4_Gf      Dev       
Cc1cccc(O)c1C                                                -29.14     -32.20     3.06      
Cc1ccccc1                                                    115.74     117.43     -1.69     
Cc1ccccc1C                                                   114.04     120.79     -6.75     
Cc1ccccc1C=C                                                 220.33     213.97     6.36      
Cc1ccccc1C=O                                                 27.24      19.85      7.38      
Cc1ccccc1Cl                                                  92.81      89.51      3.30      
Cc1ccccc1F                                                   -71.73     -72.38     0.65      
Cc1ccccc1N                                                   172.24     164.37     7.87      
Cc1ccccc1O                                                   -31.87     -32.73     0.86      
Cc1ccccn1                                                    175.97     174.25     1.72      
Cc1cccnc1                                                    181.42     181.48     -0.06     
Cc1ccnc(C)c1                                                 165.91     163.69     2.23      
Cc1ccncc1                                                    181.31     177.63     3.68      
Cc1ccncc1C                                                   178.53     177.36     1.17      
Cc1cocc1                                                     -4.74      -3.28      -1.46     
Cc1cscc1                                                     114.60     116.60     -2.00     
Cc1occc1                                                     -12.85     -13.88     1.03      
Cc1sccc1                                                     117.57     116.49     1.08      
Cc1sccc1C                                                    112.81     112.37     0.44      
ClC(=O)c1ccccc1                                              -44.48     -44.39     -0.09     
ClC1CCCCC1                                                   -2.81      -10.74     7.93      
ClCc1ccccc1                                                  94.14      100.08     -5.94     
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 18.91      30.57      -11.66    
Clc1ccccc1                                                   86.11      97.57      -11.47    
Clc1ccccc1Cl                                                 71.07      78.28      -7.21     
Cn1cccc1                                                     185.46     181.40     4.06      
FC(F)(F)c1ccccc1                                             -497.81    -512.68    14.87     
Fc1c(F)c(F)c(Cl)c(F)c1F                                      -721.49    -734.16    12.68     
Fc1c(F)c(F)c(F)c(F)c1F                                       -886.42    -876.04    -10.37    
Fc1cc(F)c(F)c(F)c1F                                          -750.55    -734.87    -15.69    
Fc1ccccc1                                                    -70.56     -64.82     -5.74     
Fc1ccccc1F                                                   -240.42    -236.90    -3.52     
N#CC#CC#N                                                    470.84     516.61     -45.77    
N#CCCC#N                                                     228.81     250.83     -22.02    
